variable,category,description,feature_type,data_type,value_counts,n_unique,missing_values,mode_pct,gini_impurity,shannon_entropy
num_lab_procedures,Clinical Metrics,Number of lab tests performed during the encounter,Discrete,Int64,"{1: 3208, 2: 1101, 3: 668, 4: 378, 5: 286, 6: 282, 7: 323, 8: 366, 9: 933, 10: 838, 11: 689, 12: 506, 13: 404, 14: 336, 15: 461, 16: 544, 17: 743, 18: 730, 19: 977, 20: 763, 21: 676, 22: 694, 23: 836, 24: 744, 25: 1048, 26: 1094, 27: 831, 28: 1048, 29: 1340, 30: 1354, 31: 1311, 32: 1336, 33: 1297, 34: 1677, 35: 1907, 36: 1962, 37: 2079, 38: 2213, 39: 2101, 40: 2201, 41: 2117, 42: 2113, 43: 2804, 44: 2496, 45: 2376, 46: 2189, 47: 2106, 48: 2058, 49: 2066, 50: 1924, 51: 1925, 52: 1838, 53: 1802, 54: 1888, 55: 1836, 56: 1839, 57: 1747, 58: 1708, 59: 1624, 60: 1610, 61: 1638, 62: 1444, 63: 1450, 64: 1324, 65: 1238, 66: 1212, 67: 1093, 68: 1043, 69: 991, 70: 826, 71: 798, 72: 749, 73: 661, 74: 612, 75: 526, 76: 465, 77: 421, 78: 357, 79: 334, 80: 293, 81: 283, 82: 225, 83: 230, 84: 160, 85: 156, 86: 128, 87: 91, 88: 102, 89: 73, 90: 65, 91: 61, 92: 48, 93: 56, 94: 45, 95: 46, 96: 28, 97: 31, 98: 26, 99: 9, 100: 13, 101: 13, 102: 8, 103: 6, 104: 3, 105: 6, 106: 5, 107: 1, 108: 4, 109: 4, 111: 3, 113: 3, 114: 2, 118: 1, 120: 1, 121: 1, 126: 1, 129: 1, 132: 1}",118,0,0.03152329854764853,0.9842701711063478,6.193847606139517
num_procedures,Clinical Metrics,Number of procedures (other than lab tests) performed during the encounter,Discrete,Int64,"{0: 46652, 1: 20742, 2: 12717, 3: 9443, 4: 4180, 5: 3078, 6: 4954}",7,0,0.458424228131203,0.7191066947109328,2.230835748603715
num_medications,Clinical Metrics,Number of distinct generic names administered during the encounter,Discrete,Int64,"{1: 262, 2: 470, 3: 900, 4: 1417, 5: 2017, 6: 2699, 7: 3484, 8: 4353, 9: 4913, 10: 5346, 11: 5795, 12: 6004, 13: 6086, 14: 5707, 15: 5792, 16: 5430, 17: 4919, 18: 4523, 19: 4078, 20: 3691, 21: 3230, 22: 2868, 23: 2426, 24: 2109, 25: 1888, 26: 1608, 27: 1432, 28: 1233, 29: 1000, 30: 849, 31: 712, 32: 623, 33: 504, 34: 453, 35: 388, 36: 287, 37: 293, 38: 228, 39: 209, 40: 179, 41: 146, 42: 128, 43: 127, 44: 100, 45: 88, 46: 92, 47: 74, 48: 60, 49: 61, 50: 55, 51: 43, 52: 54, 53: 40, 54: 33, 55: 32, 56: 37, 57: 26, 58: 25, 59: 20, 60: 23, 61: 14, 62: 15, 63: 14, 64: 8, 65: 12, 66: 5, 67: 7, 68: 7, 69: 5, 70: 2, 72: 3, 74: 1, 75: 2, 79: 1, 81: 1}",75,0,0.059803863765894305,0.9596587469115943,4.9131384059817815
number_outpatient,Clinical Metrics,Number of outpatient visits of the patient in the year preceding the encounter,Discrete,Int64,"{0: 85027, 1: 8547, 2: 3594, 3: 2042, 4: 1099, 5: 533, 6: 303, 7: 155, 8: 98, 9: 83, 10: 57, 11: 42, 12: 30, 13: 31, 14: 28, 15: 20, 16: 15, 17: 8, 18: 5, 19: 3, 20: 7, 21: 7, 22: 5, 23: 2, 24: 3, 25: 2, 26: 2, 27: 3, 28: 1, 29: 2, 33: 2, 34: 1, 35: 2, 36: 2, 37: 1, 38: 1, 39: 1, 40: 1, 42: 1}",39,0,0.8355148084822043,0.29305369171276985,1.0020175288172177
number_emergency,Clinical Metrics,Number of emergency visits of the patient in the year preceding the encounter,Discrete,Int64,"{0: 90383, 1: 7677, 2: 2042, 3: 725, 4: 374, 5: 192, 6: 94, 7: 73, 8: 50, 9: 33, 10: 34, 11: 23, 12: 10, 13: 12, 14: 3, 15: 3, 16: 5, 18: 5, 19: 4, 20: 4, 21: 2, 22: 6, 24: 1, 25: 2, 28: 1, 29: 1, 37: 1, 42: 1, 46: 1, 54: 1, 63: 1, 64: 1, 76: 1}",33,0,0.8881453530648743,0.2050346095005806,0.6859601512334603
number_inpatient,Clinical Metrics,Number of inpatient visits of the patient in the year preceding the encounter,Discrete,Int64,"{0: 67630, 1: 19521, 2: 7566, 3: 3411, 4: 1622, 5: 812, 6: 480, 7: 268, 8: 151, 9: 111, 10: 61, 11: 49, 12: 34, 13: 20, 14: 10, 15: 9, 16: 6, 17: 1, 18: 1, 19: 2, 21: 1}",21,0,0.6645638032348722,0.5145571305356604,1.548300266332627
diag_1,Diagnoses,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,Nominal,String,"{""?"": 21, ""Blood"": 1103, ""Circulatory"": 30336, ""Congenital"": 51, ""Dermatology"": 2530, ""Diabetes mellitus"": 8757, ""Digestive"": 9208, ""External causes of injury "": 1, ""Genitourinary"": 5078, ""Ill-defined"": 7636, ""Infections"": 2768, ""Injury/Poisoning"": 6974, ""Mental"": 2262, ""Musculoskeletal"": 4957, ""Neoplasms"": 3433, ""Nervous"": 1211, ""OBGYN"": 687, ""Other metabolic and immunity disorders"": 2702, ""Respiratory"": 10407, ""Supplemental classification"": 1644}",20,21,0.2980956311538235,0.8656394675768514,3.4483948123781443
diag_2,Diagnoses,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,Nominal,String,"{""?"": 358, ""Blood"": 2926, ""Circulatory"": 31365, ""Congenital"": 108, ""Dermatology"": 3596, ""Diabetes mellitus"": 12794, ""Digestive"": 3962, ""External causes of injury "": 731, ""Genitourinary"": 7987, ""Ill-defined"": 4632, ""Infections"": 1931, ""Injury/Poisoning"": 2428, ""Mental"": 2657, ""Musculoskeletal"": 1764, ""Neoplasms"": 2547, ""Nervous"": 1286, ""OBGYN"": 415, ""Other metabolic and immunity disorders"": 8223, ""Respiratory"": 10251, ""Supplemental classification"": 1805}",20,358,0.3082070632627793,0.8576107119968991,3.4318258196717624
diag_3,Diagnoses,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,Nominal,String,"{""?"": 1423, ""Blood"": 2490, ""Circulatory"": 29918, ""Congenital"": 96, ""Dermatology"": 2488, ""Diabetes mellitus"": 17157, ""Digestive"": 3572, ""External causes of injury "": 1244, ""Genitourinary"": 6327, ""Ill-defined"": 4523, ""Infections"": 1861, ""Injury/Poisoning"": 1946, ""Mental"": 3136, ""Musculoskeletal"": 1915, ""Neoplasms"": 1856, ""Nervous"": 1766, ""OBGYN"": 309, ""Other metabolic and immunity disorders"": 9151, ""Respiratory"": 6774, ""Supplemental classification"": 3814}",20,1423,0.29398816893658,0.8599643002336341,3.4656359135574375
number_diagnoses,Clinical Metrics,Number of diagnoses entered to the system,Discrete,Int64,"{1: 219, 2: 1023, 3: 2835, 4: 5537, 5: 11393, 6: 10161, 7: 10393, 8: 10616, 9: 49474, 10: 17, 11: 11, 12: 9, 13: 16, 14: 7, 15: 10, 16: 45}",16,0,0.4861545113299137,0.7159965789681803,2.3398379486012963
max_glu_serum,Laboratory Results,"Indicates the range of the result or if the test was not taken. Values: >200, >300, normal, and none if not measured",Nominal,Enum,"{""None"": 96420, ""Norm"": 2597, "">200"": 1485, "">300"": 1264}",4,0,0.9474677200636755,0.1012864755048487,0.3764465575872352
A1Cresult,Laboratory Results,"Indicates the range of the result or if the test was not taken. Values: >8 if the result was greater than 8%, >7 if the result was greater than 7% but less than 8%, normal if the result was less than 7%, and none if not measured.",Nominal,Enum,"{""None"": 84748, ""Norm"": 4990, "">7"": 3812, "">8"": 8216}",4,0,0.8327732248491637,0.29616326266734705,0.9037767142633825
metformin,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 81778, ""Down"": 575, ""Steady"": 18346, ""Up"": 1067}",4,0,0.8035886248845391,0.3216039135595721,0.8102375928859022
repaglinide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 100227, ""Down"": 45, ""Steady"": 1384, ""Up"": 110}",4,0,0.9848770709274217,0.02983083596389069,0.12155268266857239
nateglinide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101063, ""Down"": 11, ""Steady"": 668, ""Up"": 24}",4,0,0.9930919953619087,0.013725134321271093,0.06179498134314044
chlorpropamide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101680, ""Down"": 1, ""Steady"": 79, ""Up"": 6}",4,0,0.9991549240414284,0.0016888315638090567,0.010230449710586054
glimepiride,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 96575, ""Down"": 194, ""Steady"": 4670, ""Up"": 327}",4,0,0.9489908220820313,0.097296606037374,0.3195269530715167
acetohexamide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101765, ""Down"": 0, ""Steady"": 1, ""Up"": 0}",2,0,0.9999901735353655,0.000019652736150232997,0.00017763874049091507
glipizide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 89080, ""Down"": 560, ""Steady"": 11356, ""Up"": 770}",4,0,0.8753414696460508,0.2212376013120082,0.6157920077397636
glyburide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 91116, ""Down"": 564, ""Steady"": 9274, ""Up"": 812}",4,0,0.8953481516420022,0.18995251404948155,0.5548805882007702
tolbutamide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101743, ""Down"": 0, ""Steady"": 23, ""Up"": 0}",2,0,0.9997739913134053,0.0004519152133366511,0.00306329148774025
pioglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 94438, ""Down"": 118, ""Steady"": 6976, ""Up"": 234}",4,0,0.9279916671579899,0.13412581137435986,0.3965744756945705
rosiglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 95401, ""Down"": 87, ""Steady"": 6100, ""Up"": 178}",4,0,0.9374545526010651,0.11758219601868747,0.35546527517949306
acarbose,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101458, ""Down"": 3, ""Steady"": 295, ""Up"": 10}",4,0,0.9969734488925575,0.00603552859589096,0.03054951865701931
miglitol,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101728, ""Down"": 5, ""Steady"": 31, ""Up"": 2}",4,0,0.999626594343887,0.0007465762866288861,0.005107290263433498
troglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101763, ""Down"": 0, ""Steady"": 3, ""Up"": 0}",2,0,0.9999705206060964,0.00005895704973801763,0.0004861920696686447
tolazamide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101727, ""Down"": 0, ""Steady"": 38, ""Up"": 1}",3,0,0.9996167678792524,0.0007661778462935143,0.004968201823646619
examide,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101766, ""Down"": 0, ""Steady"": 0, ""Up"": 0}",1,0,1.0,0.0,0.0
citoglipton,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101766, ""Down"": 0, ""Steady"": 0, ""Up"": 0}",1,0,1.0,0.0,0.0
insulin,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 47383, ""Down"": 12218, ""Steady"": 30849, ""Up"": 11316}",4,0,0.46560737377906175,0.6645390170143968,1.7549922519041123
glyburide-metformin,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101060, ""Down"": 6, ""Steady"": 692, ""Up"": 8}",4,0,0.993062515968005,0.013780590899378886,0.060835304375459025
glipizide-metformin,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101753, ""Down"": 0, ""Steady"": 13, ""Up"": 0}",2,0,0.9998722559597508,0.0002554554434186507,0.00183658363973912
glimepiride-pioglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101765, ""Down"": 0, ""Steady"": 1, ""Up"": 0}",2,0,0.9999901735353655,0.000019652736150232997,0.00017763874049091507
metformin-rosiglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101764, ""Down"": 0, ""Steady"": 2, ""Up"": 0}",2,0,0.9999803470707309,0.000039305086062979555,0.0003356244124055758
metformin-pioglitazone,Medications,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",Ordinal,Enum,"{""No"": 101765, ""Down"": 0, ""Steady"": 1, ""Up"": 0}",2,0,0.9999901735353655,0.000019652736150232997,0.00017763874049091507
change,Treatment Changes,Indicates if there was a change in diabetic medications (either dosage or generic name). Values: change and no change,Boolean,String,"{""Ch"": 47011, ""No"": 54755}",2,0,0.5380480710649922,0.4971046885764667,0.9958189079126576
diabetesMed,Treatment Changes,Indicates if there was any diabetic medication prescribed. Values: yes and no,Boolean,String,"{""No"": 23403, ""Yes"": 78363}",2,0,0.7700312481575379,0.35416625003696445,0.7779568270127907
readmitted,Target Variables,"Days to inpatient readmission. Values: <30 if the patient was readmitted in less than 30 days, >30 if the patient was readmitted in more than 30 days, and No for no record of readmission.",Ordinal,Enum,"{""NO"": 54864, "">30"": 35545, ""<30"": 11357}",3,0,0.5391191557101586,0.5748984679088416,1.3636330318506713
